Date,State,Series_Complete_Yes,Booster_Doses,MMWR_week
2022-03-23,NE,1216256.0,593684.0,12
2022-03-23,ND,416060.0,167643.0,12
2022-03-23,NC,6268752.0,1618907.0,12
2022-03-23,MT,601473.0,281488.0,12
2022-03-23,MS,1529005.0,556812.0,12
2022-03-23,MP,43106.0,20092.0,12
2022-03-23,MO,3405942.0,1414451.0,12
2022-03-23,MN,3871079.0,2186331.0,12
2022-03-23,MI,5958102.0,3176111.0,12
2022-03-23,MH,25058.0,5259.0,12
2022-03-23,ME,1057237.0,576231.0,12
2022-03-23,MD,4507790.0,2235820.0,12
2022-03-23,MA,5379060.0,2702337.0,12
2022-03-23,LA,2467762.0,952751.0,12
2022-03-23,KY,2540559.0,1103147.0,12
2022-03-23,KS,1768690.0,741247.0,12
2022-03-23,IN,3662904.0,1639214.0,12
2022-03-23,IL,8627058.0,4306166.0,12
2022-03-23,ID,956332.0,394897.0,12
2022-03-23,IA,1938799.0,1011835.0,12
2022-03-23,HI,72.0,72.0,12
2022-03-23,GU,137913.0,58240.0,12
2022-03-23,GA,5744888.0,2058134.0,12
2022-03-23,FM,52677.0,10269.0,12
2022-03-23,FL,14247760.0,5560594.0,12
2022-03-23,DE,663905.0,294158.0,12
2022-03-23,DC,512360.0,183904.0,12
2022-03-23,CT,2790245.0,1411840.0,12
2022-03-23,CO,4010980.0,2033829.0,12
2022-03-23,CA,28050630.0,13830684.0,12
2022-03-23,AZ,4424796.0,1788862.0,12
2022-03-23,AS,39842.0,16786.0,12
2022-03-23,AR,1625652.0,624837.0,12
2022-03-23,AL,2479697.0,862329.0,12
2022-03-23,AK,450454.0,189673.0,12
2022-03-22,WY,294733.0,124345.0,12
2022-03-22,WV,1023038.0,458249.0,12
2022-03-22,WI,3783053.0,2086814.0,12
2022-03-22,WA,5475543.0,2790869.0,12
2022-03-22,VT,501960.0,297320.0,12
2022-03-22,VI,56359.0,16154.0,12
2022-03-22,VA,6181186.0,2864906.0,12
2022-03-22,UT,2038924.0,883420.0,12
2022-03-22,TX,17570344.0,6401314.0,12
2022-03-22,TN,3682012.0,1580801.0,12
2022-03-22,SD,533882.0,216518.0,12
2022-03-22,SC,2906234.0,1130870.0,12
2022-03-22,RI,861960.0,450436.0,12
2022-03-22,PW,18041.0,11240.0,12
2022-03-22,PR,2618450.0,1446534.0,12
2022-03-22,PA,8633384.0,3597261.0,12
2022-03-22,OR,2912472.0,1520215.0,12
2022-03-22,OK,2233376.0,820518.0,12
2022-03-22,OH,6772845.0,3453329.0,12
2022-03-22,NY,14789035.0,6599782.0,12
2022-03-22,NV,1851948.0,698067.0,12
2022-03-22,NM,1471353.0,715557.0,12
2022-03-22,NJ,6642584.0,3060760.0,12
2022-03-22,NH,913005.0,293833.0,12
2022-03-22,NE,1216242.0,593672.0,12
2022-03-22,ND,416012.0,167596.0,12
2022-03-22,NC,6267582.0,1617588.0,12
2022-03-22,MT,601450.0,281462.0,12
2022-03-22,MS,1527991.0,555925.0,12
