geoid,county,state,pageRank
72057,Guayama Municipio,Puerto Rico,1.4372150410652904
13053,Chattahoochee,Georgia,1.436339397017238
42013,Blair,Pennsylvania,1.4326106539665726
34023,Middlesex,New Jersey,1.4318938970488917
06089,Shasta,California,1.4312983276241216
09009,New Haven,Connecticut,1.428758417193446
13063,Clayton,Georgia,1.4250783981258048
18035,Delaware,Indiana,1.4237117437018878
47011,Bradley,Tennessee,1.422991726528749
48075,Childress,Texas,1.4217980517989408
28071,Lafayette,Mississippi,1.4204950481161598
06007,Butte,California,1.4192904770556325
27035,Crow Wing,Minnesota,1.4174959993648737
36045,Jefferson,New York,1.4160006578256652
24001,Allegany,Maryland,1.4152787933523288
48381,Randall,Texas,1.4133390912227173
39167,Washington,Ohio,1.4118193923994757
31153,Sarpy,Nebraska,1.402887531132012
53053,Pierce,Washington,1.402767526942618
27041,Douglas,Minnesota,1.4021099378786355
08063,Kit Carson,Colorado,1.3996555752516002
54025,Greenbrier,West Virginia,1.3980378346161575
48341,Moore,Texas,1.3975310981496676
47125,Montgomery,Tennessee,1.3969918937571004
31185,York,Nebraska,1.395558529277984
16005,Bannock,Idaho,1.3941021513410679
48189,Hale,Texas,1.3930424148169702
36081,Queens,New York,1.3913056864516982
05005,Baxter,Arkansas,1.3874026896843856
31101,Keith,Nebraska,1.387216185633139
46023,Charles Mix,South Dakota,1.3868243318911428
18083,Knox,Indiana,1.3797203242731944
30035,Glacier,Montana,1.3791932246704357
41029,Jackson,Oregon,1.376271541761539
48127,Dimmit,Texas,1.376092148777698
53007,Chelan,Washington,1.373306247116476
08001,Adams,Colorado,1.3725386857229214
19175,Union,Iowa,1.3724352090653582
48179,Gray,Texas,1.371189413195485
31041,Custer,Nebraska,1.370885695205689
02130,Ketchikan Gateway Borough,Alaska,1.37060770481929
30093,Silver Bow,Montana,1.3698403155516483
19027,Carroll,Iowa,1.3687554369046344
37099,Jackson,North Carolina,1.362573405009195
15009,Maui,Hawaii,1.3624362618262449
55085,Oneida,Wisconsin,1.3589207492099613
13261,Sumter,Georgia,1.3584906939174373
50023,Washington,Vermont,1.356973527139136
49005,Cache,Utah,1.356724117288746
01117,Shelby,Alabama,1.3562577485920697
26073,Isabella,Michigan,1.354685761776028
29201,Scott,Missouri,1.3534061195652372
21117,Kenton,Kentucky,1.3500922931668489
21035,Calloway,Kentucky,1.3493427494214527
51740,Portsmouth city,Virginia,1.3474917094475356
29161,Phelps,Missouri,1.3467771706432292
20111,Lyon,Kansas,1.3461682860401334
41059,Umatilla,Oregon,1.3419295907907987
42125,Washington,Pennsylvania,1.3410934730227742
15003,Honolulu,Hawaii,1.3408668365186827
28001,Adams,Mississippi,1.3395349156164114
