sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/5/27,38.70027898,Midwest,IN,"Lake County, IN",18089
2020/5/27,9.584336316,West,ID,"Latah County, ID",16057
2020/5/27,56.57864872,South,FL,"Miami-Dade County, FL",12086
2020/5/27,0,West,CA,"Monterey County, CA",6053
2020/5/27,0,Northeast,NY,"Nassau County, NY",36059
2020/5/27,88.97044537,Northeast,DE,"New Castle County, DE",10003
2020/5/27,3.801552338,South,OK,"Oklahoma County, OK",40109
2020/5/27,249.6478331,South,FL,"Palm Beach County, FL",12099
2020/5/27,0,West,MT,"Park County, MT",30067
2020/5/27,0,Northeast,ME,"Penobscot County, ME",23019
2020/5/27,35.35829815,Midwest,IL,"Peoria County, IL",17143
2020/5/27,29.2271939,West,CA,"Placer County, CA",6061
2020/5/27,21.59869172,Midwest,IN,"Steuben County, IN",18151
2020/5/27,75.5706538,Northeast,MA,"Suffolk County, MA",25025
2020/5/27,0,Midwest,IN,"Tippecanoe County, IN",18157
2020/5/27,6.853731935,Northeast,NJ,"Union County, NJ",34039
2020/5/27,0,Northeast,PA,"Westmoreland County, PA",42129
2020/5/27,25.51977337,West,OR,"Yamhill County, OR",41071
2020/5/27,1.387731925,West,AZ,"Yavapai County, AZ",4025
2020/5/27,0,Northeast,ME,"York County, ME",23031
2020/6/3,37.85410871,West,ID,"Ada County, ID",16001
2020/6/3,62.54177915,West,CO,"Arapahoe County, CO",8005
2020/6/3,79.23529287,West,NV,"Elko County, NV",32007
2020/6/3,69.18729362,Northeast,PA,"Erie County, PA",42049
2020/6/3,44.15246891,Northeast,NJ,"Essex County, NJ",34013
2020/6/3,71.29373235,Northeast,PA,"Franklin County, PA",42055
2020/6/3,151.298818,Midwest,MN,"Hennepin County, MN",27053
2020/6/3,17.04651784,Northeast,PA,"Indiana County, PA",42063
2020/6/3,35.71110568,Midwest,IN,"Lake County, IN",18089
2020/6/3,172.5176771,South,FL,"Miami-Dade County, FL",12086
2020/6/3,0,West,CA,"Monterey County, CA",6053
2020/6/3,0,Northeast,NY,"Nassau County, NY",36059
2020/6/3,156.2772335,Northeast,DE,"New Castle County, DE",10003
2020/6/3,0,West,MT,"Park County, MT",30067
2020/6/3,116.315403,Midwest,IL,"Peoria County, IL",17143
2020/6/3,70.41034284,West,CA,"Placer County, CA",6061
2020/6/3,30.73943159,West,WA,"Skagit County, WA",53057
2020/6/3,12.09217102,Midwest,IN,"Steuben County, IN",18151
2020/6/3,51.92201974,Northeast,MA,"Suffolk County, MA",25025
2020/6/3,7.003780306,Northeast,NJ,"Union County, NJ",34039
2020/6/3,0,Northeast,PA,"Westmoreland County, PA",42129
2020/6/3,1.155158244,West,AZ,"Yavapai County, AZ",4025
2020/6/3,0,Northeast,ME,"York County, ME",23031
2020/6/10,127.7544795,West,ID,"Ada County, ID",16001
2020/6/10,62.44148163,West,CO,"Arapahoe County, CO",8005
2020/6/10,397.7466176,Northeast,PA,"Dauphin County, PA",42043
2020/6/10,49.60443987,West,NV,"Elko County, NV",32007
2020/6/10,36.06147221,Northeast,PA,"Erie County, PA",42049
2020/6/10,40.32263249,Northeast,NJ,"Essex County, NJ",34013
2020/6/10,11.9417008,Northeast,MA,"Hampshire County, MA",25015
2020/6/10,244.5935373,Midwest,MN,"Hennepin County, MN",27053
2020/6/10,39.46840743,Northeast,PA,"Indiana County, PA",42063
2020/6/10,129.129598,South,KY,"Jefferson County, KY",21111
2020/6/10,293.3360463,South,FL,"Miami-Dade County, FL",12086
2020/6/10,26.5301244,West,CA,"Monterey County, CA",6053
2020/6/10,3.109393467,Northeast,PA,"Montgomery County, PA",42091
2020/6/10,0,Northeast,NY,"Nassau County, NY",36059
2020/6/10,171.3478756,Northeast,DE,"New Castle County, DE",10003
